time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1608176520,21847.4,21856,21839.1,21856,0.6881,15033.02,force_direct,
1608176580,21847.5,21852.9,21847.4,21847.4,1.597,34894.7,force_direct,
1608176640,21786.8,21847.5,21780,21847.5,16.47,359037.68,force_direct,
1608176700,21828.3,21837.1,21786.8,21786.8,7.617,166221.54,force_direct,
1608176760,21847.6,21847.6,21827.8,21828.3,3.606,78743.83,force_direct,
1608176820,21834.6,21847.6,21834.6,21847.6,14.96,326647.2,force_direct,
1608176880,21813.7,21838.1,21787.7,21834.6,1.461,31851.9,force_direct,
1608176940,21800.3,21823.5,21780,21813.7,7.356,160258.77,force_direct,
1608177000,21795.5,21808.2,21781.6,21800.3,1.867,40680.24,force_direct,
1608177060,21792.4,21801.9,21782.6,21795.5,3.447,75119.51,force_direct,
1608177120,21804.4,21807.4,21780.1,21792.4,5.566,121284.83,force_direct,
1608177180,21799.8,21804.4,21799.7,21804.4,0.599,13058.98,force_direct,
1608177240,21799.1,21800,21799,21799.8,8.107,176730.16,force_direct,
1608177300,21750.7,21799.1,21750.7,21799.1,11.62,252946.38,force_direct,
1608177360,21757.6,21765.1,21729.9,21750.7,16.53,359338.94,force_direct,
1608177420,21759.4,21783.5,21753.2,21757.6,1.62,35240.93,force_direct,
1608177480,21761.8,21766.7,21758,21759.4,0.6561,14279.22,force_direct,
1608177540,21758.1,21777.4,21755.7,21761.8,5.704,124125.34,force_direct,
1608177600,21747.8,21760.5,21736.2,21758.1,1.787,38851.52,force_direct,
1608177660,21780,21780,21737.5,21747.8,5.723,124507.47,force_direct,
1608177720,21777.5,21780,21774.9,21780,2.228,48516.3,force_direct,
1608177780,21780,21780,21775.4,21777.5,1.502,32720.76,force_direct,
1608177840,21815,21815,21779.9,21780,4.963,108211.08,force_direct,
1608177900,21815.1,21824.7,21813,21815,7.728,168625.1,force_direct,
1608177960,21818.4,21818.4,21792.4,21815.1,3.367,73433.11,force_direct,
1608178020,21816,21818.4,21816,21818.4,0.409,8922.75,force_direct,
1608178080,21816,21816.1,21816,21816,0.2199,4797.13,force_direct,
1608178140,21846.4,21846.4,21816,21816,3.1,67697.43,force_direct,
1608178200,21845.9,21850,21845.9,21846.4,8.481,185287.23,force_direct,
1608178260,21840,21845.9,21834.2,21845.9,3.381,73844.52,force_direct,
1608178320,21816,21840,21816,21840,0.2727,5950.11,force_direct,
1608178380,21838.4,21838.5,21816,21816,1.047,22846.99,force_direct,
1608178440,21831.3,21843.1,21828.4,21838.4,1.436,31345.42,force_direct,
1608178500,21823.4,21831.3,21816,21831.3,1.789,39033.5,force_direct,
1608178560,21833.4,21833.4,21823.4,21823.4,0.7405,16163.34,force_direct,
1608178620,21833.5,21833.5,21833.3,21833.4,0.9868,21544.2,force_direct,
1608178680,21832.6,21833.5,21832.6,21833.5,0.2241,4891.78,force_direct,
1608178740,21833.1,21833.2,21832.6,21832.6,0.06872,1500.34,force_direct,
1608178800,21833.1,21833.2,21832.9,21833.1,0.9061,19783.61,force_direct,
1608178860,21838.5,21838.5,21832.9,21833.1,5.961,130156.99,force_direct,
1608178920,21854,21854,21835.9,21838.5,5.296,115713.31,force_direct,
1608178980,21868.5,21870.8,21848.4,21854,1.182,25821.19,force_direct,
1608179040,21905.3,21913.5,21862.6,21868.5,19.39,424474.07,force_direct,
1608179100,21890,21905.3,21876.4,21905.3,9.035,197727.57,force_direct,
1608179160,21873.9,21890.1,21871.5,21890,5.011,109685.82,force_direct,
1608179220,21871.6,21877,21869.6,21873.9,1.352,29567.94,force_direct,
1608179280,21846.6,21871.6,21841.7,21871.6,7.717,168668.66,force_direct,
1608179340,21846.5,21846.6,21846.4,21846.6,0.8048,17582.54,force_direct,
1608179400,21846.5,21846.5,21846.5,21846.5,0,0,force_direct,
1608179460,21871,21871,21846.4,21846.5,0.9852,21533.25,force_direct,
1608179520,21864.2,21871,21856.8,21871,3.578,78230.47,force_direct,
1608179580,21851.6,21864.2,21851.5,21864.2,0.3147,6877.38,force_direct,
1608179640,21850.8,21852.6,21848.9,21851.6,1.358,29674.83,force_direct,
1608179700,21836.5,21852.5,21836.5,21850.8,0.2857,6239.66,force_direct,
1608179760,21796.7,21836.5,21796.7,21836.5,3.813,83154.31,force_direct,
1608179820,21802.3,21815.1,21796.7,21796.7,8.152,177773.25,force_direct,
1608179880,21810.7,21811.2,21802.3,21802.3,0.3273,7137.14,force_direct,
1608179940,21791.5,21810.7,21791.5,21810.7,0.1,2179.68,force_direct,
1608180000,21792.1,21796.5,21791.5,21791.5,0.07184,1565.64,force_direct,
1608180060,21793.8,21797.5,21792.1,21792.1,0.08445,1840.75,force_direct,
1608180120,21806.2,21806.2,21793.8,21793.8,1.641,35773.73,force_direct,
1608180180,21810.3,21828.5,21806.2,21806.2,1.662,36253.96,force_direct,
1608180240,21805.8,21810.3,21802.7,21810.3,0.07187,1566.87,force_direct,
1608180300,21802.4,21809.5,21802.4,21805.8,0.5064,11043.96,force_direct,
1608180360,21843.4,21843.4,21802.4,21802.4,1.714,37421.19,force_direct,
1608180420,21843.5,21845.3,21842.5,21843.4,1.515,33092.92,force_direct,
1608180480,21848.4,21848.5,21843.5,21843.5,2.25,49150.14,force_direct,
1608180540,21863.4,21872.4,21848.4,21848.4,1.796,39262.99,force_direct,
1608180600,21850.1,21863.4,21850.1,21863.4,0.2138,4673.66,force_direct,
1608180660,21850,21850.1,21850,21850.1,1.727,37745.65,force_direct,
1608180720,21843.4,21850.1,21843.4,21850,2.009,43898.28,force_direct,
1608180780,21817.6,21843.4,21816.5,21843.4,0.633,13813.68,force_direct,
1608180840,21836.6,21841.9,21817.6,21817.6,0.4478,9772.22,force_direct,
1608180900,21820.6,21836.6,21816.6,21836.6,0.8168,17829.56,force_direct,
1608180960,21817.1,21824.8,21816.5,21820.6,0.2896,6318.4,force_direct,
1608181020,21816.6,21817.1,21816.6,21817.1,0.1922,4192.17,force_direct,
1608181080,21808.4,21816.6,21806.5,21816.6,1.091,23794.7,force_direct,
1608181140,21800,21808.4,21800,21808.4,0.2195,4785.46,force_direct,
